"","USER_ID","VIDEO_ID","SIZE","VIEWS.x","LENGTH","BITRATE","UPLOADS","FRIENDS"
"5604","judsonlaipply","dMH0bHeiRNg",14558586,42513417,360,"-3.15713e+304",2,NA
"2112","ChrisInScotland","RB-wUgnyGv0",6516390,15712924,159,"327.885",4,NA
"10929","tasha","-_CSo1gOd48",8509160,13199833,205,"9094.33",55,NA
"8223","OkGo","pv5zWaTEVkI",7607876,11672017,184,"329.659",20,NA
"7581","mrWoot","D2kJZOfq7zk",7602786,11184051,185,"-1.35738e+112",20,NA
"8541","PeaceOnEarth123","vr3x_RRJdd4",7797965,10786529,219,"284.335",4,NA
"8010","Nikesoccer","lsO6D1rwrKc",6708511,10334975,164,"-1.#QNAN",46,NA
"7683","mYcheMicALroMaNcE","8bbTtPL1jRs",10993092,9579911,267,"328.726",33,NA
"10309","smosh","UMf40daefsI",8166742,7533070,200,"-8.43782e-150",54,NA
"431","alyankovic","-xEzGIuY7kw",7018157,6946033,171,"327.867",28,NA
"10814","swingcheese","HSoVKUVOnfQ",4121735,6193057,102,"-4.90984e-012",10,NA
"6624","Madyeti47","sdUUx5FdySs",7761032,5840839,189,"4.61652e-272",7,NA
"2938","DimensionFilms","h0zAlXr1UOs",5441031,5826923,130,"-1.#QNAN",15,NA
"6872","mattharding2718","bNF_P281Uu4",8692719,5231539,222,"-1.#QNAN",20,NA
"8049","NK5000","6B26asyGKDo",13133631,5147533,345,"303.645",1,NA
"3824","FrankCaliendoDotCom","kAMIlPudalQ",21836245,4750215,569,"6.46328e+167",11,NA
"10304","smosh","6D9p-wmtIJc",7627948,4292706,185,"5.29311e-029",54,NA
"6947","mcfit","gx-NLPH8JeM",3605024,4237062,88,"326.862",5,NA
"7513","mrderekjohnson","vD4OnHCRd_4",11037968,4230610,269,"-1.#QNAN",1,NA
"8326","orangeohm","8uwuLxrv8jY",5384682,4226517,131,"-1.#QNAN",3,NA
"9281","renetto","lFf-kW1E0Tc",3346419,4071966,80,"330.384",344,NA
"12576","XxChisizmyangelxX","synhob08_eA",8132013,3909544,196,"-5.34758e+303",10,NA
"9633","s41punkrock","NINJQ5LRh-0",7626971,3794886,184,"330.58",10,NA
"10201","sjfgjj","H20dhY01Xjk",10184653,3772116,359,"2.72611e-077",6,NA
"1624","Brt9003","FLn45-7Pn2Y",6169742,3604114,148,"333.357",38,NA
"4692","HollyW00d81","o4x-VW_rCSE",3388311,3534116,74,"362.265",3,NA
"1605","BrokerTim","Z4Y4keqTV6w",22377795,3335232,541,"330.375",1,NA
"1396","Blunty3000","O-tkqpHnxTI",8192763,3270046,196,"333.126",416,NA
"3927","FueledByRamen","eiiU-Fky18s",11018393,3269875,268,"328.565",333,NA
"1341","Blingchachink","PKnloiM-0Ns",8480898,3246969,205,"-1.#QNAN",5,NA
"1496","Boyslikegirlsmusic","bReVwemN5iE",9368023,3243467,230,"325.328",4,NA
"4065","GayHooD","xWGU3mpfRoM",9744407,3236894,233,"-1.#QNAN",20,NA
"6127","lassegg","JzqumbhfxRo",8026830,3230774,192,"332.825",23,NA
"4327","gravylookout","eAhfZUZiwSE",3464032,3114215,78,"353.37",1,NA
"1306","blamesocietyfilms","4wGR4-SeuJ0",11626905,3085087,286,"324.499",83,NA
"11200","TheHill88","CQO3K8BcyGM",2683744,3083875,65,"328.71",95,NA
"10305","smosh","P1OXAQHv09E",2464341,3068566,59,"-1.#QNAN",54,NA
"4914","impytherap","x49WZRyXGe0",2011706,2922110,52,"311.663",15,NA
"1855","CBS","YgW7or1TuFk",10984642,2899397,265,"331.796",9187,NA
"1485","botmib","nda_OSWeyn8",3088523,2817078,123,"-1.67319e-263",4,NA
"1318","Blendtec","B8H29jU8Wrs",2974793,2806422,73,"326.05",75,NA
"6194","leftlanenews","cv157ZIInUk",1252363,2773979,30,"-1.#QNAN",101,NA
"8898","Poster889","Zt5-wn3fvlw",8703302,2742497,210,"331.298",1,NA
"4366","gswanson17","Q5im0Ssyyus",8669556,2709425,225,"-1.#QNAN",12,NA
"7969","nicepaul","tScm-eZInBE",2706042,2675254,73,"295.051",4,NA
"6937","mcburger","BIeIWkK0t4s",14877867,2641924,360,"-2.03093e+059",107,NA
"2960","dirtyfratboy","yRmqZRPgK1w",11079032,2631575,268,"5.26869e-231",12,NA
"5955","konefku","z34JYwNGFtw",8887155,2626999,217,"6.70119e+279",3,NA
"11862","unconed","bcu8ZdJ2dQo",3009637,2617568,76,"313.008",7,NA
"12882","Zipster08","LH7vrLlDZ6U",13234352,2615359,347,"304.967",628,NA
"5814","Kewen","gg5_mlQOsUQ",7282993,2595278,313,"185.42",23,NA
"11066","Tetriscide","AJzU3NjDikY",12302625,2569611,302,"325.279",10,NA
"2983","Dissou","oMaTZFCLbq0",21043806,2554620,588,"-1.#QNAN",2,NA
"4043","gametrailers","GxSdKF5Fd38",14108861,2468395,341,"-1.#QNAN",0,NA
"9126","RandiandJen","co9qBme4Dgk",6605806,2427970,160,"328.375",4,NA
"4805","iamigor","PTU2He2BIc0",5614525,2421139,135,"331.171",1,NA
"9547","rpoland","Ddn4MGaS3N4",8224852,2417724,198,"332.285",156,NA
"10301","smosh","ut5fFyTkKv4",7508213,2401671,181,"-1.#QNAN",54,NA
"7211","Mikitama","z1lj87UyvfY",8827548,2373875,210,"-4.66186e+303",22,NA
"975","BaratsAndBereta","bhcA4Ry65FU",5269192,2364657,129,"-1.#QNAN",36,NA
"2910","digitalfilmmaker","JMvMzQ4Vu-8",8269531,2359461,204,"6.01348e-154",55,NA
"8741","picster","ElrldD02if0",13217085,2337238,318,"331.376",3,NA
"10235","skyracer90","xDh_pvv1tUM",6602321,2335060,166,"-5.34754e+303",5,NA
"3993","G4TV","eBXal1GAA4A",2472872,2324802,60,"-1.#QNAN",243,NA
"1877","CBS","NvQScRuZj9s",6274130,2318862,151,"331.692",9187,NA
"12702","YouTube","QCVxQ_3Ejkg",3974109,2318782,96,"328.438",33,NA
"1330","Blendtec","MC8Zvl-8ziA",2153956,2317777,58,"292.519",75,NA
"6940","McCaskill4Missouri","a9WB_PXjTBo",1348931,2310583,37,"287.123",19,NA
"11413","tim9294","g3dXfFZ6SH0",5510145,2295871,134,"-1.#QNAN",12,NA
"2354","cow","mUN2t6ahqX8",15907309,2284707,452,"-1.#QNAN",42,NA
"7122","MGMStudiosInc","DttxKIA_AxU",5920636,2271081,145,"324.694",26,NA
"11556","tpiper","iYhCn0jf46U",3097074,2253008,74,"330.888",5,NA
"12114","virtualmagician","nvbQQnvxXDk",2533020,2231992,62,"325.886",72,NA
"2504","d0r43m0n","HgtmETjMT7Y",10153700,2192326,265,"305.621",12,NA
"2146","chulitagurl247","p07GQhBdIPQ",11013840,2182136,264,"9.80207e-313",14,NA
"1947","champaR","LVCb52iQrfo",4576168,2178278,125,"-1.#QNAN",20,NA
"3810","fpfagundes","l3aLGXOg9Gg",12252948,2166101,341,"-8.74179e-289",70,NA
"6889","MauriceDevereaux","mCwKbUVyHLY",6821603,2163340,165,"330.408",9,NA
"9588","RunOn","vFP-MktgOKU",52597476,2151182,1468,"3.34597e+284",6,NA
"11805","udsbrian","qjWQNwv-GJ4",8999843,2132591,219,"-2.11102e+233",4,NA
"10165","simoncouillard1","BFP0q4qzGw4",8509754,2127028,225,"301.489",14,NA
"7734","nalobi","BgoOihBb78w",7042896,2115525,169,"332.337",7,NA
"2911","digitalfilmmaker","qdS5lkeN8_8",5755667,2091042,140,"6.01348e-154",55,NA
"7606","MuchMusicOfficial","qkq0w6ua_Sg",5512824,2085637,133,"329.678",187,NA
"5704","Kamikazeepanda","BZmE3fUKU5U",18181537,2077170,508,"-1.#QNAN",4,NA
"4596","hereforyou13","tvkh29RKFRY",NA,2035437,214,"331.849",38,NA
"1914","cgoldsmith","Ms6BtRYMtpw",7168967,2003889,235,"243.116",49,NA
"4741","houryuji","AgEmZ39EtFk",1399983,1999469,32,"-3.37527",82,NA
"6193","leftlanenews","0I0WfnhVs2s",1238933,1953577,30,"-1.#QNAN",101,NA
"6195","leftlanenews","xCIF6JF1O5U",1231693,1934276,30,"-1.#QNAN",101,NA
"2912","digitalfilmmaker","OEmss2lg-ug",4505784,1859974,110,"6.01348e-154",55,NA
"4718","hopelesslovex","-TSWaKWiAhY",3654149,1847109,146,"4.04643e-173",16,NA
"8330","Orbitbrown","JZCHpacxl4c",7782437,1821792,186,"334.574",43,NA
"2478","cutiemish","RR_Q3VAyg4I",1836773,1819119,46,"-2.87701e-201",32,NA
"3864","freedomworksfilms","59ZX5qdIEB0",8586979,1814798,205,"334.291",23,NA
"1716","Bye2Love","eVFF98kNg8Q",10360574,1813803,252,"328.309",13,NA
"2507","D4N3Train","2SVMFCZgvNM",3775372,1813794,96,"311.528",3,NA
"6325","LisaNova","uE-F1yMv8nY",9203192,1805044,230,"318.946",85,NA
"3061","dononeg","vvTU0rlhBVw",11894058,1792999,284,"333.837",28,NA
"1866","CBS","3SCJLlSf21Y",6499529,1779922,157,"331.224",9187,NA
