"","VIDEO_ID","SIZE","VIEWS.x","LENGTH","BITRATE.x","V4","V5.y","RATE","CLASS"
"1","0018DcICL18",10691234,108,310,34487.8516129032,"Music",310,4,"1"
"2","00cdvUbRNio",14812021,1371,364,40692.3653846154,"Film & Animation",364,4.7,"1"
"3","00Fp9mPDc70",7528777,680,207,36370.9033816425,"Gadgets & Games",207,4,"1"
"4","00H7cH8y1g0",3632155,1246,131,27726.3740458015,"News & Politics",131,4.39,"1"
"5","00ieL1lSulU",7236831,11136,184,39330.6032608696,"Sports",184,4.38,"1"
"6","00-jcFBUlK4",3808872,1734,89,42796.3146067416,"Entertainment",89,3.12,"2"
"7","010ucHVYb6s",6489713,414,157,41335.7515923567,"News & Politics",157,5,"1"
"8","01FsIe5jAAw",54588649,2612,1321,41323.7312641938,"Howto & DIY",1321,5,"1"
"9","01Q0O8UkVls",18150478,12924,437,41534.2745995423,"Howto & DIY",437,3.36,"2"
"10","_01QBRLNs4Q",16364742,5898,396,41325.1060606061,"Travel & Places",396,4.77,"1"
"11","0-1sNgnBgkw",6828780,4594,166,41137.2289156627,"Gadgets & Games",166,4.83,"1"
"12","02assRuBmdc",14099920,1872,343,41107.638483965,"Entertainment",343,0,"5"
"13","02eghIfyHP0",5623296,131842,136,41347.7647058823,"Autos & Vehicles",136,4.41,"1"
"14","037HvQ1TyGM",15756402,145137,381,41355.3858267717,"News & Politics",381,2.71,"3"
"15","03CilCApoOU",19509669,7431,471,41421.8025477707,"Gadgets & Games",471,4.11,"1"
"16","03sQHrYp1tY",4914895,3010,124,39636.25,"Entertainment",124,4.94,"1"
"17","03zFTTqHScI",6937135,29028,168,41292.4702380952,"News & Politics",168,4.57,"1"
"18","04cps_brPEQ",24340560,5649,598,40703.2775919732,"Comedy",598,4.85,"1"
"19","04WfppZx8Ro",9091573,5028,217,41896.6497695853,"Music",217,4.31,"1"
"20","0-5akukx5dw",3284195,131,99,33173.6868686869,"Howto & DIY",99,5,"1"
"21","05LRRH9OLR0",8055955,1139,195,41312.5897435897,"Music",195,4.57,"1"
"22","05p8aJXX3YA",21753927,221,605,35956.9041322314,"Howto & DIY",605,5,"1"
"23","05U9L7Nldtc",12140001,872,300,40466.67,"Music",300,4.91,"1"
"24","05zhL1YUd8Q",13967567,16559,344,40603.3924418605,"Comedy",344,4.63,"1"
"25","063cBQZj5PY",5485380,215,131,41873.1297709924,"Comedy",131,5,"1"
"26","06D_EFNGmOQ",10304517,68880,247,41718.6923076923,"Music",247,4.73,"1"
"27","06nmfniiEGI",4615423,3642,167,27637.2634730539,"Music",167,5,"1"
"28","07ej4zNlhpU",4620341,16213,109,42388.4495412844,"Comedy",109,4.94,"1"
"29","07iqd_e6R-I",82678304,4680,2297,35994.0374401393,"Gadgets & Games",2297,4.38,"1"
"30","07mSHsAuEcA",13133885,1962,319,41172.0532915361,"Music",319,5,"1"
"31","07ULXNzP_Ys",3730247,199,81,46052.4320987654,"News & Politics",81,3.4,"2"
"32","07U_uKGfv48",11294681,160110,273,41372.4578754579,"Music",273,4.9,"1"
"33","07W7-4Meffo",15263192,225959,373,40920.0857908847,"Comedy",373,4.69,"1"
"34","087pjPX3z_8",10028794,1768,240,41786.6416666667,"Music",240,5,"1"
"35","087t0IMxUdQ",2895161,4811,70,41359.4428571429,"People & Blogs",70,4.32,"1"
"36","08BqaSuEE_w",8088714,13344,195,41480.5846153846,"Comedy",195,4.8,"1"
"37","08i7EGXIJz4",9954099,7546,249,39976.3012048193,"Music",249,4.92,"1"
"38","08nxKViy8PU",13796231,12003,207,66648.4589371981,"Comedy",207,3.68,"2"
"39","08R8tgvXa7o",10022708,40420,241,41588,"Film & Animation",241,4.83,"1"
"40","08va1i6LYPc",10269560,46313,251,40914.5816733068,"News & Politics",251,4.2,"1"
"41","091ugdiojEM",4759481,137019,118,40334.5847457627,"Howto & DIY",118,4.61,"1"
"42","098sM93EXtQ",919864,123,26,35379.3846153846,"Film & Animation",26,5,"1"
"43","09BE_b4VEUo",2959347,1342,198,14946.196969697,"Music",198,3,"2"
"44","09PsIC-l19w",18990039,1957,462,41103.9805194805,"People & Blogs",462,4.11,"1"
"45","0A4OG-BS_P4",8083824,27275,208,38864.5384615385,"Music",208,4.8,"1"
"46","0A9tx-p0Kr0",24699561,14332,598,41303.6137123746,"Autos & Vehicles",598,4.4,"1"
"47","0aAoSkV5Kc4",1048559,19468,26,40329.1923076923,"Gadgets & Games",26,4.05,"1"
"48","0AMV7KphclI",4226600,488,102,41437.2549019608,"Entertainment",102,0,"5"
"49","0aomz-1STsA",15991469,5524,402,39779.7736318408,"Comedy",402,4.81,"1"
"50","0Ar8PfALDrI",13704351,143,330,41528.3363636364,"Gadgets & Games",330,5,"1"
"51","0ariCArsva8",4587363,3081,109,42085.8990825688,"Music",109,4.94,"1"
"52","0avhh2oBqGo",18013596,2291,438,41126.9315068493,"Music",438,4.95,"1"
"53","0b1fM5oSiQU",9873994,12730,275,35905.4327272727,"Comedy",275,4.63,"1"
"54","0BaZaXezG7g",59307,5639,1,59307,"Howto & DIY",1,2.5,"3"
"55","0BBapAx9qJ8",931416,15981,46,20248.1739130435,"Entertainment",46,2.58,"3"
"56","0bdFiDtfZ2g",9776969,1934,234,41781.9188034188,"Comedy",234,4.93,"1"
"57","0BHPtoTctDY",10552952,45957,420,25126.0761904762,"Howto & DIY",420,4.71,"1"
"58","0bROtFzxcIA",17060704,2757,411,41510.2287104623,"Music",411,4.2,"1"
"59","0bv8dcNNiSU",14028423,8715,339,41381.7787610619,"Entertainment",339,4.82,"1"
"60","0bVTJMNVHZk",10723128,593,260,41242.8,"Entertainment",260,4.33,"1"
"61","0cIPsSXRrb0",5277853,1133,272,19403.8713235294,"News & Politics",272,3.67,"2"
"62","0CKTDb2kbpI",6752023,53,163,41423.4539877301,"Comedy",163,5,"1"
"63","0cLbaFkYqhQ",14099886,5025,340,41470.2529411765,"Music",340,4.33,"1"
"64","0clnx7-LcUE",703275,82,24,29303.125,"News & Politics",24,5,"1"
"65","0cQNi7t2xbU",11384459,420,278,40951.2913669065,"Music",278,5,"1"
"66","0_CSvxc9ZNo",12508486,741,239,52336.7615062762,"Music",239,4.8,"1"
"67","0d3A-hEjRZM",1763417,194183,43,41009.6976744186,"Entertainment",43,4.21,"1"
"68","0doRlwhanJ4",9674328,19146,236,40992.9152542373,"Sports",236,4.44,"1"
"69","0dp3f0tufEs",1208222,24322,30,40274.0666666667,"Howto & DIY",30,2.77,"3"
"70","0dV2NMHVwBY",16162950,4854,392,41232.0153061224,"Music",392,4.83,"1"
"71","0dVWE4IYpuc",9645177,3544,230,41935.552173913,"Comedy",230,4.16,"1"
"72","0dykGRGzzVA",12144720,104645,300,40482.4,"Film & Animation",300,4.82,"1"
"73","0E25rGphkgc",12618031,17603,364,34664.9203296703,"People & Blogs",364,2.82,"3"
"74","0EGwDEbTzoE",5508333,31961,132,41729.7954545455,"Entertainment",132,4.57,"1"
